@@(#)$CDS: Archiver version 22.1 S002 (4088182) 2/6/2023
Archiving cellview J:\td_v1\hw\proj_CAD_REE\rsk_team\ek_ra8d1_v0300_es\hw\cad_ek_ra8d1_v0300_es\worklib\ek_ra8d1, from library ek_ra8d1
Archiving cellview J:\ACLib\ree_lib\de_hdl\pas_152_inductor\ind, from library pas_152_inductor

Archiving cellview J:\ACLib\ree_lib\de_hdl\oth_170_crystal\crystal, from library oth_170_crystal

Archiving cellview J:\ACLib\ree_lib\de_hdl\oth_170_crystal\crystal_abm8_xx, from library oth_170_crystal

Archiving cellview J:\ACLib\ree_lib\de_hdl\con_160_b_to_b\double_row_20, from library con_160_b_to_b

Archiving cellview J:\ACLib\ree_lib\de_hdl\dis_141_dio_rec\dio, from library dis_141_dio_rec

Archiving cellview J:\ACLib\ree_lib\de_hdl\dig_100_logic\ren_ics1894_32, from library dig_100_logic

Archiving cellview J:\ACLib\ree_lib\de_hdl\oth_171_osci\ecs_ecs_1612mv, from library oth_171_osci

Archiving cellview J:\ACLib\ree_lib\de_hdl\con_161_interface\rj45_con_j0, from library con_161_interface

Archiving cellview J:\ACLib\ree_lib\de_hdl\dig_102_memory\s28hl512tfpbhi010, from library dig_102_memory

Archiving cellview J:\ACLib\ree_lib\de_hdl\pas_150_resistor\res4s, from library pas_150_resistor

Archiving cellview J:\ACLib\ree_lib\de_hdl\ana_122_dc_dc\ren_isl9008, from library ana_122_dc_dc

Archiving cellview J:\ACLib\ree_lib\de_hdl\con_160_b_to_b\sam_erx8_26pin, from library con_160_b_to_b

Archiving cellview J:\ACLib\ree_lib\de_hdl\dig_102_memory\issi512mbsdram_x16, from library dig_102_memory

Archiving cellview c:\cadence\spb_22.1\share\library\standard\origin, from library standard

Archiving cellview c:\cadence\spb_22.1\share\library\standard\offpage, from library standard

Archiving cellview J:\ACLib\ree_lib\de_hdl\oth_179_divers\vccxvx, from library oth_179_divers

Archiving cellview J:\ACLib\ree_lib\de_hdl\oth_179_divers\p5v0, from library oth_179_divers

Archiving cellview J:\ACLib\ree_lib\de_hdl\oth_179_divers\p3v3, from library oth_179_divers

Archiving cellview J:\ACLib\ree_lib\de_hdl\oth_179_divers\ground, from library oth_179_divers

Archiving cellview J:\ACLib\ree_lib\de_hdl\ree_999_border\initial_top_table, from library ree_999_border

Archiving cellview J:\ACLib\ree_lib\de_hdl\ree_999_border\frame_a3, from library ree_999_border

Archiving cellview J:\ACLib\ree_lib\de_hdl\ree_999_border\addon_top_table, from library ree_999_border

Executing compression command.....
cdszip -r "J:\td_v1\hw\proj_CAD_REE\rsk_team\ek_ra8d1_v0300_es\hw\cad_ek_ra8d1_v0300_es\cad_ek_ra8d1_v0300_es_compress" "cad_ek_ra8d1_v0300_es_archive" 
